,other_1,someone_1,woman_1,man_1,someone_0,woman_0,other_0,man_0
chemist,6.35,4.850000000000023,6.35,0.0,5.35,4.300000000000004,0.0,4.550000000000001
paralegal,0.6500000000000004,0.8500000000000085,0.3499999999999943,3.200000000000003,0.0,0.0,0.44999999999999574,0.0
nurse,6.199999999999996,16.700000000000003,0.6500000000000057,0.0,0.0,0.0,0.0,5.6000000000000085
examiner,0.0,0.0,0.0,0.0,0.0,8.149999999999999,14.049999999999997,2.75
mechanic,0.0,0.0,2.4000000000000057,0.0,7.25,3.7,0.34999999999999787,2.8999999999999986
cashier,2.3499999999999996,12.05,0.8500000000000001,1.1499999999999773,7.350000000000005,6.6000000000000085,14.950000000000003,3.9000000000000004
chef,1.9500000000000028,0.0,11.099999999999994,0.0,3.0500000000000007,7.25,0.0,0.24999999999999956
psychologist,10.05,0.0,0.0,0.0,4.5,11.849999999999994,0.7000000000000011,9.349999999999994
specialist,16.75,16.300000000000004,0.0,0.0,7.9,0.0,11.850000000000001,4.2
secretary,3.9499999999999993,1.5,0.09999999999999432,0.49999999999999956,0.1999999999999993,1.5999999999999996,0.4499999999999993,1.9500000000000002
therapist,3.200000000000003,3.599999999999998,1.3499999999999943,0.6500000000000001,12.75,0.0,0.0,0.0
clerk,15.850000000000009,45.45,0.0,0.0,0.0,0.0,16.05,0.0
salesperson,0.6999999999999997,6.200000000000003,0.10000000000000009,1.4210854715202004e-14,4.5,1.9000000000000004,5.700000000000003,2.6999999999999993
plumber,21.650000000000006,100.0,0.0,0.0,0.0,0.0,0.0,0.0
hairdresser,0.8999999999999986,7.450000000000003,0.19999999999999973,0.20000000000000018,5.550000000000011,0.20000000000000107,4.700000000000003,12.299999999999997
carpenter,7.199999999999998,22.25,0.6999999999999993,0.0,0.0,3.4499999999999993,1.9500000000000028,0.0
electrician,0.0,0.0,0.0,0.0,0.0,7.25,2.5,3.6499999999999986
